"source_system","source_path","target_path","classification","confidence","reason","target_conflict","current_indexable","evidence_date"
"live-sitemap","/","","KEEP","observed","homepage","no","yes","2026-08-08"
"live-sitemap","/about","","KEEP","observed","about","no","yes","2026-08-08"
"live-sitemap","/australia-apparel-manufacturer","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/austria-apparel-manufacturer","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/blog","","KEEP","observed","resource-index","no","yes","2026-08-08"
"live-sitemap","/blog/apparel-decoration-method-selection","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/apparel-sampling-product-development-process","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/choose-gsm-custom-tshirts-hoodies-sweatshirts","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/clothing-tech-pack-checklist","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/custom-football-kit-manufacturer-checklist","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/heavyweight-hoodie-manufacturer-rfq-guide","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/how-to-source-private-label-lederhosen","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/oem-vs-odm-vs-private-label-apparel","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/private-label-leather-jacket-development-guide","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/blog/private-label-nightwear-specification-checklist","","KEEP","observed","resource-article","no","yes","2026-08-08"
"live-sitemap","/buyer-information","","KEEP","observed","buyer-information","no","yes","2026-08-08"
"live-sitemap","/buyer-trust","","KEEP","observed","buyer-information","no","yes","2026-08-08"
"live-sitemap","/canada-apparel-manufacturer","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/compliance","","KEEP","observed","buyer-information","no","yes","2026-08-08"
"live-sitemap","/contact","","KEEP","observed","inquiry-rfq","no","yes","2026-08-08"
"live-sitemap","/custom-leather-jacket-manufacturer-canada","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/custom-sportswear-manufacturer-germany","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/custom-sportswear-manufacturer-uk","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/de/","","KEEP","observed","homepage","no","yes","2026-08-08"
"live-sitemap","/de/bavarian-wear","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/de/bekleidungshersteller-deutschland","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/de/dirndl-grosshandel","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/de/einkaeufer-informationen","","KEEP","observed","buyer-information","no","yes","2026-08-08"
"live-sitemap","/de/lederbekleidung-hersteller","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/de/lederhosen-hersteller","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/de/materialien","","KEEP","observed","materials","no","yes","2026-08-08"
"live-sitemap","/de/sportbekleidung-hersteller","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/de/trachten-private-label","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/dirndl-manufacturer-austria","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/factory-video-call","","KEEP","observed","buyer-information","no","yes","2026-08-08"
"live-sitemap","/faq","","KEEP","observed","buyer-information","no","yes","2026-08-08"
"live-sitemap","/fr/","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/fr/fabricant-vetements","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/fr/fabricant-vetements-cuir","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/fr/fabricant-vetements-sport","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/fr/fabrication-marque-blanche","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/fr/informations-acheteurs","","KEEP","observed","buyer-information","no","yes","2026-08-08"
"live-sitemap","/fr/matieres","","KEEP","observed","materials","no","yes","2026-08-08"
"live-sitemap","/germany-apparel-manufacturer","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/inquiry","","KEEP","observed","inquiry-rfq","no","yes","2026-08-08"
"live-sitemap","/leather-apparel-manufacturer-germany","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/lederhosen-manufacturer-germany","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/manufacturing","","KEEP","observed","manufacturing","no","yes","2026-08-08"
"live-sitemap","/markets","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/australia","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/austria","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/canada","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/germany","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/netherlands","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/new-zealand","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/switzerland","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/united-kingdom","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/markets/united-states","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/materials","","KEEP","observed","materials","no","yes","2026-08-08"
"live-sitemap","/netherlands-apparel-manufacturer","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/new-zealand-apparel-manufacturer","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/nl/","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/nl/kledingfabrikant","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/nl/kopersinformatie","","KEEP","observed","buyer-information","no","yes","2026-08-08"
"live-sitemap","/nl/leren-kleding-fabrikant","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/nl/materialen","","KEEP","observed","materials","no","yes","2026-08-08"
"live-sitemap","/nl/private-label-kleding","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/nl/sportkleding-fabrikant","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/privacy-policy","","KEEP","observed","legal","no","yes","2026-08-08"
"live-sitemap","/private-label-streetwear-manufacturer-usa","","KEEP","observed","localized-market","no","yes","2026-08-08"
"live-sitemap","/products","","KEEP","observed","main-division","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear","","KEEP","observed","main-division","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories","","KEEP","observed","audience-group","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories","","KEEP","observed","product-type","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories/alpine-neck-scarf","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories/alpine-wool-hat","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories/bavarian-boots","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories/haferl-shoes","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories/knee-high-trachten-socks","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories/loferl-socks","","KEEP","observed","individual-product","no","yes","2026-08-08"
"live-sitemap","/products/bavarian-trachten-wear/accessories/accessories/trachten-leather-belt","","KEEP","observed","individual-product","no","yes","2026-08-08"
